Type	Freq.
bir	1315066
ve	1129006
bu	693991
da	395702
de	387573
için	280477
çok	219311
olarak	216425
gibi	205186
daha	203982
ile	199426
o	184015
ne	166407
her	149240
olan	145270
sonra	143799
ama	142821
en	137725
kadar	133801
ki	106011
ise	94332
ya	94077
ben	93865
büyük	87464
var	85189
zaman	82484
diye	82456
olduğu	82008
içinde	80241
değil	79214
göre	77569
yeni	76636
ilk	70676
ancak	69041
kendi	66772
önce	63892
iyi	63740
hiç	63264
aynı	62713
olduğunu	62471
şey	60150
bütün	60139
veya	59856
önemli	59002
bile	58990
başka	58872
son	56295
arasında	56074
sosyal	23618
ekonomik	23527
olsun	23180
yılında	23139
çocuk	23093
temel	23057
hatta	22772
süre	22431
açık	22245
kendini	22059
uygun	22037
para	21943
şöyle	21678
belli	21675
olsa	21617
zaten	21587
bin	21572
konusunda	21554
birkaç	21528
kişi	21426
bunlar	21311
gelir	21108
bilgi	21095
kısa	21093
geldi	21014
geçen	20915
genç	20884
bulunan	20760
aslında	20590
elde	20503
geri	20329
arasındaki	20222
eğer	20135
ifade	20128
etti	19912
etmek	19790
evet	19727
edilen	19564
karar	19288
örneğin	19226
gece	19225
iç	19204
bağlı	19167
konusu	19148
yakın	19106
birçok	19095
açısından	19080
olmayan	18956
olacak	18906
bize	18802
gerçek	18786
sonucu	13600
oluyor	13595
ortak	13499
yalnızca	13494
durumda	13486
üretim	13429
konuda	13422
gerekli	13412
ağır	13405
hareket	13379
doğal	13353
yoktur	13335
oldukça	13306
orta	13291
bunları	13260
kendisine	13257
dünyanın	13215
yana	13183
ülke	13149
karşısında	13125
boyunca	13065
ettiği	13046
çalışma	13044
ileri	13040
size	13011
herhangi	12954
yoktu	12907
geliyor	12887
halinde	12886
sıra	12845
dönemde	12835
önünde	12807
bazen	12739
kimse	12700
olmuştur	12696
kalan	12683
kolay	12657
toplam	12554
hizmet	12493
günü	12297
veren	12277
kendisini	12255
hayır	12254
sırasında	12236
haline	12225
kültür	12211
meydana	12200
yönetim	12166
çıktı	12157
henüz	12052
birden	11982
toprak	9801
güvenlik	9733
hepsi	9716
kullanılan	9674
üçüncü	9669
birer	9593
uzak	9549
dolu	9547
grup	9499
kontrol	9466
resmi	9449
istiyorum	9435
ondan	9421
doğrudan	9407
dünyada	9400
ederek	9400
sistemi	9377
mevcut	9366
amacıyla	9362
vergi	9349
yemek	9343
olursa	9339
başarılı	9314
sorun	9308
üstüne	9291
dolayı	9290
önem	9282
işe	9236
gözden	9226
acaba	9220
neler	9184
işin	9134
ticaret	9098
yılı	9082
kaldı	9072
idi	9030
itibaren	9022
okul	8993
işçi	8979
almak	8961
dün	8958
iyice	8938
yanına	8932
boş	8930
din	8922
sermaye	8892
ara	8890
asıl	8883
üstelik	8879
yıllar	8876
mutlu	8843
öne	7625
serbest	7584
geçmiş	7584
elinde	7576
gücü	7573
adını	7569
dışı	7569
ilişki	7549
mal	7544
oldukları	7541
annem	7535
halka	7530
günlük	7528
edilmesi	7515
seçim	7509
baş	7487
yapılacak	7476
alır	7459
bakanı	7445
vermek	7444
başını	7435
ortalama	7434
sonraki	7426
işaret	7425
acı	7387
içinden	7380
başlayan	7370
madde	7356
film	7354
kesin	7347
edip	7330
sesi	7317
ortadan	7307
polis	7290
olmasına	7284
herkesin	7266
esas	7264
neredeyse	7261
bulunmaktadır	7255
yardımcı	7254
kendilerini	7214
kadınların	7213
soru	7204
sağ	7196
buraya	7190
yan	7187
gösteren	7179
kendilerine	7177
hazır	7172
sonucunda	7169
merak	7163
kuzey	6248
günlerde	6234
dair	6230
sivil	6218
dahi	6214
herhalde	6209
kredi	6206
adamın	6205
eylül	6201
öğrenci	6201
yaz	6196
birini	6185
tespit	6174
ihtiyaç	6165
dünyaya	6153
nerede	6150
benden	6140
takip	6136
sayesinde	6134
çay	6123
hoş	6116
alarak	6115
barış	6113
anlamına	6110
olduğundan	6107
düzeyde	6105
cumhuriyet	6104
yaşanan	6102
edilmiştir	6096
televizyon	6095
internet	6093
olmalı	6091
gören	6089
geleneksel	6088
arası	6086
amacı	6071
yoluyla	6065
yönetimi	6059
zarar	6051
hayal	6050
ettim	6043
basit	6034
rekabet	6032
kalmış	6025
takım	5995
etkin	5990
demokrasi	5984
dek	5979
elini	5976
oluşturan	5976
siyah	5974
zorunlu	5416
aralarında	5416
yapısı	5416
geldiği	5416
süreci	5415
tahmin	5407
hedef	5384
iddia	5383
hayata	5381
meslek	5380
görünce	5379
yapar	5374
sene	5372
dayalı	5369
yapmış	5363
bölümü	5348
doğan	5346
tablo	5343
bilir	5342
gel	5341
tıpkı	5336
olayı	5332
istiyor	5331
duruma	5327
anlam	5322
hayatın	5312
bugüne	5302
ülkemizde	5299
ateş	5288
azından	5286
tatlı	5285
yüzü	5285
oraya	5271
gül	5265
petrol	5263
güney	5262
kimsenin	5239
olmaya	5239
görülen	5238
çocukları	5233
lira	5227
nereye	5227
çalışmalar	5226
cinsel	5222
bilmiyorum	5219
akıl	5218
demiş	5217
ediyordu	5216
yaşında	5212
tedavi	5201
değeri	5197
tarihsel	4818
başı	4810
gündeme	4807
ayak	4801
eşit	4797
olacağını	4794
çabuk	4789
içeren	4782
bulunur	4771
olmadan	4768
geçerli	4760
baskı	4756
alınması	4746
sonuna	4743
politik	4727
rahatsız	4722
açıkça	4721
gerekse	4714
yerli	4706
aylık	4701
mart	4700
ederim	4697
kesinlikle	4692
gazete	4692
kuru	4689
adeta	4679
anlamı	4678
sarı	4677
kaynağı	4671
anlamlı	4667
sıkı	4663
yarı	4654
politika	4653
sonrasında	4652
yılın	4652
payı	4649
döndü	4649
önemlidir	4648
etmiştir	4643
kanun	4641
piyasa	4637
görülür	4637
arka	4635
işbirliği	4628
tanrı	4625
mavi	4623
diyordu	4619
yasa	4618
bakış	4613
kent	4613
yaptıkları	4613
teşvik	4294
bakanlığı	4292
günün	4289
şekil	4289
özgür	4285
oğlum	4284
doğrultusunda	4280
başlıyor	4278
yağmur	4270
davranış	4269
hesap	4269
ücret	4266
zayıf	4263
işlem	4262
koruma	4260
ufak	4258
sahiptir	4253
program	4250
deyişle	4233
çift	4231
denli	4231
amaç	4224
olduklarını	4222
halkı	4221
üniversitesi	4221
metin	4220
şeyleri	4213
edilmektedir	4213
günler	4208
bende	4206
programı	4204
bütçe	4200
bazıları	4192
siyaset	4191
yakından	4190
kapıyı	4189
efendi	4187
karşıya	4184
arkadaşlar	4182
dar	4181
sürüyor	4180
almaya	4171
zamanlarda	4165
tarihli	4164
belirten	4159
konuyu	4158
aldım	4156
olacağı	4155
yurt	4154
gibiydi	4153
varlık	4152
yöntem	3797
bulunması	3796
duygu	3793
yaşamak	3792
geçer	3783
kızım	3782
somut	3780
sesini	3778
düzenli	3774
temiz	3765
ilişkisi	3763
aykırı	3762
misin	3762
verme	3762
tehdit	3761
aracı	3759
ortamda	3754
taşıyor	3754
sürede	3751
suyun	3749
filan	3748
öylesine	3743
ayakta	3743
fiziksel	3739
eskiden	3737
gerçeği	3737
bulunuyor	3733
okula	3732
geliyordu	3728
verecek	3723
üretimi	3722
ağa	3720
ihracat	3720
yaparken	3717
küresel	3715
sosyalist	3715
edebiyat	3710
tersine	3709
zamanla	3705
edildiği	3701
değerler	3697
verdim	3695
gelmiştir	3694
gösteriyor	3689
çalışmada	3689
oluyordu	3683
baştan	3679
yolunu	3679
olunca	3671
kullanımı	3670
meclis	3664
gördüğü	3451
haberi	3450
ürünleri	3448
etmişti	3444
olduğum	3443
yılmaz	3439
attı	3435
sefer	3434
arkasında	3432
eşi	3431
şubat	3431
aklıma	3430
kalkınma	3430
olağanüstü	3429
ortasında	3429
belirgin	3427
hayatta	3424
güne	3423
gümrük	3422
yönünde	3422
geçiyor	3410
bizde	3409
arkadaşım	3406
ideolojik	3405
sürü	3401
gittim	3400
yüzyıl	3399
doğa	3397
işsizlik	3397
herkese	3397
bakıldığında	3396
kalabalık	3395
denilen	3395
verilmesi	3393
yaklaşım	3392
sokak	3390
toplumda	3388
düşman	3386
haziran	3385
halen	3384
gönül	3384
şık	3383
gaz	3381
lideri	3380
sesleri	3380
sıradan	3377
oluşturduğu	3376
ağustos	3375
dişi	3370
emniyet	3363
hastalık	3363
öyleyse	3178
kolayca	3175
korkunç	3175
kırk	3175
şunları	3175
hazırlanan	3175
denetim	3174
başlıca	3172
araba	3172
insanlık	3171
ailenin	3168
dışındaki	3167
söylenebilir	3164
evlilik	3162
yüzyılda	3162
düşündüm	3161
yağ	3160
gençler	3158
bilmem	3158
oturup	3154
edin	3151
yerlere	3149
git	3146
olayları	3143
kendileri	3142
ülkeleri	3140
istediğini	3140
yaşındaki	3135
giderken	3133
yapısal	3127
aynen	3127
göç	3127
anlattı	3127
göç	3127
rolü	3126
dava	3125
bağlıdır	3125
memnun	3121
süresi	3120
görür	3119
düştü	3117
hukuki	3115
uzaktan	3115
çıkacak	3115
görünen	3114
yazdığı	3114
türü	3113
kalın	3112
kaldığı	3112
kalın	3112
girip	3109
mutlak	2948
bulunduğunu	2948
korunması	2948
kullanım	2947
maddesi	2947
ismi	2946
çalışması	2944
bekleyen	2940
konusundaki	2939
ortam	2938
yılları	2938
aç	2934
sahne	2934
çıkardı	2934
aç	2934
çıkardı	2934
aklına	2932
alması	2932
kültürü	2930
reel	2929
açıkladı	2929
filmi	2925
bölgesel	2922
kaynaklanan	2921
yetersiz	2918
trafik	2918
getirmek	2914
kimyasal	2912
oluşturmaktadır	2910
ak	2907
günleri	2905
midir	2905
oluşur	2905
arz	2899
modeli	2899
zamana	2896
inanç	2892
firma	2891
sürece	2890
etrafında	2888
geçip	2888
misiniz	2887
kullandığı	2885
hata	2883
açıklamada	2883
uygulamaya	2883
ucuz	2880
pazarlama	2879
çıkış	2877
şeker	2877
çıkış	2877
hal	2723
bölümünde	2722
sayısının	2722
aradan	2719
birim	2719
cep	2718
hem	55461
gün	54065
böyle	53817
nasıl	53712
mi	53588
dedi	53316
yok	52368
yüzde	51386
yer	50754
diğer	50361
karşı	49673
tek	46254
birlikte	45906
insan	45840
doğru	45479
onun	45048
çünkü	44755
ortaya	44478
benim	44418
tarafından	44417
artık	43878
yine	43152
bana	42972
onu	42465
yani	41931
ilgili	41761
mı	41687
sadece	40540
bazı	39194
tüm	38854
şimdi	38836
beni	38680
bunun	38557
şu	38457
yıl	38372
fazla	37832
şekilde	37329
hemen	36537
üzerinde	36493
genel	36401
bunu	36346
küçük	36225
söz	36145
oldu	35914
uzun	35411
biri	34278
hiçbir	34156
biz	33861
tam	33559
izin	18778
dışında	18760
başladı	18677
sorun	18616
böylece	18503
olup	18459
çeşitli	18422
mümkün	18398
gerek	18203
sonunda	17891
bey	17860
insanlar	17838
ilişkin	17756
rağmen	17628
yandan	17570
ele	17352
saat	17310
kim	17255
kız	17139
arada	17130
sanki	17114
mu	17095
toplumsal	17066
yaptığı	17051
sana	17039
dış	16998
içine	16969
çıkan	16949
onlar	16864
olabilir	16819
tür	16668
başına	16660
anda	16653
durum	16544
ayrı	16433
hangi	16429
siz	16404
yanında	16368
başkanı	16263
insanın	16250
tabii	16246
hakkında	16237
eder	16094
seni	16069
senin	16069
türlü	16062
onların	16039
sürekli	15978
şeyler	15960
biçimde	15949
zamanda	15948
yanlış	11973
olmuş	11972
verilen	11871
yüzden	11865
aile	11820
devletin	11811
bulunduğu	11776
hava	11762
fark	11758
ev	11656
yapmak	11558
toplum	11555
savaş	11491
değildi	11487
olmadığı	11481
beri	11470
sabah	11468
çoğu	11434
hale	11409
verdiği	11376
birinci	11348
onlara	11345
verdi	11330
yaşam	11323
başında	11309
ulusal	11270
yardım	11249
hayat	11240
kendisi	11202
yaklaşık	11182
yıllarda	11172
çalışan	11159
içerisinde	11131
akşam	11122
yavaş	11104
beyaz	11074
güç	11071
işi	11066
haber	11053
halk	10987
alt	10985
adlı	10969
yıllık	10928
ölçüde	10904
hafta	10888
şeklinde	10869
güçlü	10814
benzer	10801
yüz	10758
konu	10756
anne	10752
görev	8843
etkili	8825
ülkenin	8811
tamamen	8778
bi	8773
yeri	8767
sağlık	8761
kadının	8749
derin	8745
hızla	8743
tarih	8736
anlamda	8714
baba	8699
hak	8694
merkezi	8677
sizi	8666
bakımından	8663
oranı	8624
yolu	8609
yeterli	8607
yaşayan	8605
döneminde	8592
yerel	8587
kan	8586
müzik	8586
kan	8586
elbette	8581
gene	8569
tercih	8557
gitti	8557
kara	8537
belirli	8532
sanayi	8510
karşılık	8501
varsa	8494
enerji	8459
üzerindeki	8448
dile	8426
ince	8417
gerektiğini	8365
nedeni	8359
toplumun	8338
evde	8320
ünlü	8319
diyerek	8306
hukuk	8268
ön	8258
kurulu	8227
olumlu	8211
karşın	8208
aşk	8201
olduğuna	7162
ülkede	7155
üstünde	7149
adet	7137
gerekiyor	7126
kırmızı	7112
dini	7100
sayıda	7077
yerini	7067
başkan	7065
yerinde	7057
ışık	7056
içi	7054
giden	7039
sınıf	7035
yazar	7035
sol	7024
tane	7017
açıdan	7015
sevgi	7011
başbakan	6985
isteyen	6984
sistem	6978
normal	6973
etme	6968
doğum	6966
mali	6910
hele	6900
dahil	6885
bağımsız	6879
alanda	6871
temsil	6868
canım	6863
verir	6863
gözleri	6858
